"","Station","Habitat","Sp.rich","Total.ind","Shannon","Simpson","FRic","FEve","FDiv","FDis","RaoQ","Vul1","Vul2","Red"
"1",1284,"Fjord",19,16.208834628,1.92381095336655,0.757985498826707,247.035922533341,0.528290835739363,0.841283047630183,5.1807962291945,29.198646140756,13.6248161130564,0.717095584897706,0.221901834015944
"2",1300,"Fjord",22,10.575204071,2.28838805688885,0.831079862932474,230.229537743752,0.63674228387165,0.922919509609202,5.18212203678684,28.394744627164,15.5061960469318,0.704827093042354,0.267058486690364
"3",1306,"Fjord",22,6.770773166,2.56630907110955,0.895800000005081,352.87369866971,0.645928586225181,0.797557900729116,5.92974435308809,35.9597135254682,16.158502211853,0.734477373266044,0.219356277138082
"4",1307,"Slope",6,10.759963077,0.715920192883977,0.339285714153777,0.670625133059505,0.378086167969932,0.469808636455301,2.18953955554544,9.12238691166072,3.21781553681139,0.536302589468565,0.341258449040992
"5",1312,"Shelfbreak",19,37.265979269,1.08105070594677,0.436313327279015,162.81246449368,0.579336063796378,0.515238604161572,3.14500420892306,15.9542785308472,13.0559407602904,0.687154776857388,0.24870195230135
"6",1316,"Shelf",38,39.616965714,2.28336268887316,0.793319702132293,355.391621864866,0.610177255789331,0.824396309576299,4.83303064578041,25.0902640196982,27.2328781456575,0.716654688043617,0.309330704542113
"7",1321,"Shelfbreak",26,7.895007067,2.63084860907445,0.896728515662417,214.935577908962,0.695284428803291,0.770115212277206,5.26614465845447,28.7823951710814,17.0652323050895,0.656355088657289,0.311849149561928
"8",1322,"Shelfbreak",18,4.102869085,2.37858772401526,0.868437500174421,122.786480080392,0.681893759972012,0.759843429946293,4.95634252710635,25.438181276213,11.8928190112171,0.660712167289839,0.334204148872609
"9",1329,"Shelfbreak",20,4.574797412,2.44012234178404,0.863663808580489,194.721071173237,0.644966570097629,0.698248458933429,5.30501439970395,29.2580549071537,13.8609550030359,0.693047750151797,0.283101421079171
"10",1338,"Shelf",28,38.268110074,2.39778160414028,0.841535965384677,225.489518864071,0.59202551377959,0.732534257958257,4.40085521458569,22.4050518779834,18.9150605496072,0.675537876771686,0.387688837473349
"11",1339,"Shelfbreak",15,9.269391303,1.85087710866213,0.769686397131453,145.458621335103,0.6467368638605,0.502035486480551,4.97128644828042,26.5302819687296,10.1606857146494,0.677379047643296,0.305716709630967
"12",1345,"Slope",11,6.900195363,0.889570242094751,0.340928525031144,52.465507205114,0.561845017501112,0.596523050602573,1.88081548031009,8.64389598257329,5.84756150539485,0.531596500490441,0.388501629553216
"13",1346,"Shelf",41,854.053155828,0.183717521508884,0.0470090397294987,399.064475663256,0.6300412820386,0.455026753419554,0.323939821388132,1.50800268781092,30.5184341192911,0.744352051690026,0.246464325718319
"14",1353,"Shelfbreak",13,6.741664994,1.97777786799203,0.81041420121847,58.3147663522976,0.638732826114918,0.647819850991508,4.89136459614856,25.1213810541803,8.31053391693306,0.639271839764081,0.337556087026997
"15",1354,"Shelf",32,36.497811481,2.20633869375947,0.806605892492406,401.761505011847,0.615632916609822,0.808221591313689,4.24501780109115,20.2536307347005,22.3907033172822,0.69970947866507,0.383929592325559
"16",1355,"Slope",8,6.417240407,1.60043810599108,0.724430081166838,24.0300144070246,0.761882269548536,0.718956980578686,5.01388412331505,27.8583364197936,5.08281168863159,0.635351461078949,0.253910923017398
"17",1365,"Shelf",50,64.122688859,2.59910871024007,0.829249178967293,482.895042979378,0.547166950338118,0.894174656809407,4.85011613160774,26.397410735002,35.5643403480149,0.711286806960299,0.297012425231475
"18",1375,"Shelfbreak",33,27.502253973,2.23583141395604,0.808195318007656,337.553992509492,0.561879154052131,0.741340361275229,4.57492988884349,22.658784529171,22.0334530165037,0.667680394439506,0.344599283488335
